season,team,bias1-a,bias1-b,bias1-c,bias2-a,bias2-b,bias2-c,bias3-a,bias3-b,bias3-c,bias0-ap,bias0-mean
2018,boston-college-eagles,-4.036588524590164,-2.928604918032787,-1.7140557377049184,-7.460242622950819,-2.0048852459016393,-7.599821311475409,-10.295613114754099,-3.4186114754098362,-10.474898360655738,-3.901639344262295,-4.359688524590164
2018,oklahoma-state-cowboys,-1.1152350000000004,-0.4929883333333335,-1.8757249999999999,-9.022605,-9.197993333333333,-0.4946216666666667,-10.570496666666665,-10.772198333333334,-0.6200600000000001,-3.466666666666667,-3.910683333333333
2018,iowa-hawkeyes,-1.190755737704918,-0.3643409836065573,-1.1426901639344262,-5.231544262295081,-2.824595081967213,-6.990498360655737,-6.53553606557377,-4.293054098360656,-8.001788524590165,-3.9508196721311477,-5.174409836065574
2018,northwestern-wildcats,-4.9013288135593225,-2.3833118644067794,-4.432749152542373,-5.3064593220338985,-0.3239542372881355,-5.401449152542373,-8.01119152542373,-0.9773915254237289,-8.089115254237287,-5.898305084745763,-5.294508474576272
2018,army-west-point-black-knights,-3.254812068965517,0.0,-3.254812068965517,-4.33076724137931,0.0,-4.33076724137931,-6.5333137931034475,0.0,-6.5333137931034475,-3.810344827586207,-3.5935862068965516
2018,byu-cougars,-0.8299541666666667,-0.8299541666666667,0.0,-6.285041666666667,-6.285041666666667,0.0,-8.088820833333333,-8.088820833333333,0.0,-0.8541666666666666,-1.6721666666666666
2018,maryland-terrapins,-21.4599125,-21.4599125,0.0,-2.6895,-2.6895,0.0,-8.3797375,-8.3797375,0.0,-7.25,-0.96875
2018,virginia-cavaliers,-11.71078947368421,0.0,-11.71078947368421,-3.7235526315789476,0.0,-3.7235526315789476,-7.024573684210526,0.0,-7.024573684210526,-3.0526315789473686,-0.9664736842105263
2018,duke-blue-devils,-8.617215999999999,-7.8318639999999995,-1.8289620000000002,-5.146842,-4.909892,-0.20054800000000006,-6.0177499999999995,-5.885606,-0.05215400000000003,-3.36,-1.63374
2018,arizona-state-sun-devils,-5.6060923076923075,-4.921571794871795,-0.6798743589743589,-2.4451923076923086,-2.0664692307692314,-0.2331,-2.674907692307692,-2.299358974358974,-0.2331,-1.1282051282051282,-0.3102564102564103
2018,pittsburgh-panthers,-8.507045454545455,0.0,-8.507045454545455,-2.8407484848484845,0.0,-2.8407484848484845,-7.071472727272727,0.0,-7.071472727272727,-2.757575757575758,-0.9645757575757575
2018,uab-blazers,-12.196507407407408,0.0,-12.196507407407408,2.2695592592592595,0.0,2.2695592592592595,1.4555407407407406,0.0,1.4555407407407406,-6.037037037037037,0.1888888888888888
2018,appalachian-state-mountaineers,-11.628978571428572,-5.206497619047619,-11.490707142857142,-3.375857142857143,-1.7196690476190477,-3.909742857142857,-4.757188095238096,-2.235940476190476,-5.225159523809524,-5.404761904761905,-1.6857142857142857
2018,georgia-southern-eagles,-14.674850000000001,0.0,-14.674850000000001,-2.77503,0.0,-2.77503,-3.651605,0.0,-3.651605,-3.4,-0.5
2018,south-carolina-gamecocks,-12.02385,-12.02385,0.0,-2.770542857142857,-2.770542857142857,0.0,-8.685285714285714,-8.685285714285714,0.0,-4.357142857142857,-0.6820238095238095
2018,san-diego-state-aztecs,-9.608289655172413,-7.593931034482758,-8.040831034482759,-1.6671,-2.4403275862068967,-0.44831379310344827,-2.795289655172414,-4.118848275862069,-0.44831379310344827,-4.689655172413793,-1.0062413793103449
2018,missouri-tigers,-9.033465789473684,-1.6766552631578946,-8.742192105263157,-1.3279842105263158,-0.49669736842105255,-1.4660973684210525,-5.164265789473684,-0.49669736842105255,-5.3579684210526315,-5.631578947368421,-1.5059473684210527
2018,troy-trojans,-13.0435,0.0,-13.0435,-8.6957,0.0,-8.6957,-8.6957,0.0,-8.6957,-3.0,-2.0
2018,arizona-wildcats,-17.928625,-17.928625,0.0,4.461662499999999,4.461662499999999,0.0,12.030225,12.030225,0.0,-3.5,1.1669999999999998
2018,purdue-boilermakers,-9.278725,0.0,-9.278725,-2.2357375,0.0,-2.2357375,-5.0757125,0.0,-5.0757125,-2.125,-0.45799999999999996
2018,buffalo-bulls,-10.703657142857143,-1.8126285714285715,-9.486264285714284,6.146828571428571,-0.9187428571428571,7.3320428571428575,6.146828571428571,-0.9187428571428571,7.3320428571428575,-3.2857142857142856,1.4285714285714286
2018,florida-atlantic-owls,-14.104061538461538,-14.104061538461538,0.0,-0.6031846153846151,-0.6031846153846151,0.0,-2.952338461538462,-2.952338461538462,0.0,-2.923076923076923,0.07692307692307693
2018,kansas-state-wildcats,-16.3918,-16.3918,0.0,7.602333333333333,7.602333333333333,0.0,7.602333333333333,7.602333333333333,0.0,-3.3333333333333335,1.6666666666666667
2018,ole-miss-rebels,-17.573625,-17.573625,0.0,1.5372249999999994,1.5372249999999994,0.0,1.5372249999999994,1.5372249999999994,0.0,-5.75,0.25
2018,memphis-tigers,-11.21325,-11.21325,0.0,-0.20699999999999985,-0.20699999999999985,0.0,-0.20699999999999985,-0.20699999999999985,0.0,-4.5,-1.0
2019,clemson-tigers,-9.9004953125,9.4308046875,-26.293809375,-133.3857453125,-171.824453125,-90.7430109375,-129.9776390625,-155.147415625,-99.6862625,-1.09375,-32.844421875
2019,alabama-crimson-tide,18.9023890625,23.2142859375,12.76703125,-101.8376109375,-132.175025,-72.24588593749999,-97.1894015625,-130.6408140625,-64.8155203125,5.265625,-32.842687500000004
2019,lsu-tigers,19.1651171875,-2.0349703125,37.673609375,-120.4715421875,-63.1613828125,-166.82509687499999,-113.409459375,-64.9937875,-152.1618671875,4.78125,-32.84509375
2019,ohio-state-buckeyes,-19.7560171875,-18.6007265625,-20.729993750000002,-95.517265625,-69.01001875,-115.832675,-92.9552484375,-68.7937125,-111.4707359375,-2.234375,-32.843453125
2019,georgia-bulldogs,8.78184375,10.3656640625,6.85413125,-53.016953125,-65.935340625,-39.0944046875,-42.72006875,-51.511900000000004,-32.929478125,6.234375,-32.842953125
2019,oklahoma-sooners,-6.86015,-7.527434375,-6.2515109375,-41.7229984375,-48.0287015625,-34.1561875,-43.1749921875,-47.02660625,-37.9194484375,-3.625,-32.842421875
2019,penn-state-nittany-lions,-0.021929687500000072,2.11553125,-1.532603125,-24.285459375,-19.641484375,-27.108678125,-23.579228125,-17.6250421875,-27.6925234375,2.5,-32.2071875
2019,oregon-ducks,-0.14711562500000003,-2.3139671875,1.7979890625000001,-24.579353125,-17.5656328125,-29.653053125,-24.5677046875,-19.5899265625,-27.85055,0.71875,-32.440171875
2019,wisconsin-badgers,1.2709296875000002,2.3816796875,-0.2115249999999999,-19.433125,-21.6336390625,-17.3716296875,-17.13596875,-18.769309375,-15.656184375,4.1875,-31.54871875
2019,florida-gators,6.75545625,4.4758125,7.015609375,-26.80115,-26.6048859375,-26.97389375,-21.0041734375,-18.48318125,-23.625959375,8.875,-32.84340625
2019,utah-utes,1.9081281250000002,1.1884734375,2.1960421875,-22.3410875,-17.21359375,-26.4098828125,-20.3353359375,-16.1198140625,-23.5730109375,5.71875,-31.842265625
2019,notre-dame-fighting-irish,5.49729375,8.6285609375,3.5051312500000003,-22.3909265625,-26.519009375,-16.5226328125,-21.515534375,-24.245928125,-16.9669546875,11.46875,-32.727734375
2019,auburn-tigers,-3.9316238095238094,-4.888069841269841,-3.0925761904761906,-25.005331746031747,-29.419836507936505,-20.538073015873017,-26.64878888888889,-31.58642380952381,-21.678949206349206,-1.1904761904761905,-33.0187619047619
