voter,Conference,bias1-a,bias1-b,bias1-c,bias2-a,bias2-b,bias2-c,bias3-a,bias3-b,bias3-c,bias0-ap,bias0-mean
blake-toppmeyer,acc,0.086244776119403,-0.010755223880597015,0.13850746268656716,-0.1975686567164179,-0.2812402985074627,-0.10801194029850746,-0.19088059701492538,-0.27969850746268654,-0.09816119402985074,6.462686567164179,-4.44010447761194
blake-toppmeyer,sec,-0.012941176470588234,0.06101008403361344,-0.06919495798319328,-0.47039159663865543,-0.4459310924369748,-0.4583042016806723,-0.4664966386554622,-0.4287689075630252,-0.46491260504201676,-4.042016806722689,-25.591268907563023
blake-toppmeyer,mac,0.1235,0.0,0.247,-0.364,-0.63,-0.098,-0.3756,-0.6542,-0.097,16.0,-18.036
blake-toppmeyer,big-ten,-0.05784444444444444,-0.01842716049382716,-0.04933456790123457,-0.21895925925925927,-0.16453703703703704,-0.1745074074074074,-0.21409012345679013,-0.15842222222222221,-0.17635432098765433,-2.2098765432098766,-17.255358024691358
blake-toppmeyer,big-12,-0.06861744186046512,-0.03696046511627906,-0.07048255813953488,-0.21568837209302325,-0.17551279069767442,-0.22025000000000003,-0.20740116279069767,-0.17607558139534885,-0.2022418604651163,-11.162790697674419,-25.827627906976744
blake-toppmeyer,pac-12,0.011165168539325842,-0.01320674157303371,0.012401123595505614,-0.12733370786516854,-0.12539101123595506,-0.06314044943820224,-0.12185280898876405,-0.1180123595505618,-0.0640370786516854,2.808988764044944,-10.883438202247191
blake-toppmeyer,american,-0.02131111111111112,-0.1774666666666667,0.12277777777777778,-0.1654111111111111,-0.2500555555555556,-0.07136666666666668,-0.16117777777777778,-0.25558888888888887,-0.060188888888888896,-14.11111111111111,-28.69266666666667
blake-toppmeyer,mwc,0.04756060606060606,-0.030260606060606057,0.12236666666666667,-0.052833333333333336,-0.03453939393939394,0.0033484848484848524,-0.056809090909090906,-0.04757575757575758,0.0046333333333333365,2.4545454545454546,-4.81778787878788
blake-toppmeyer,sun-belt,-0.2716444444444444,-0.1851888888888889,-0.2763111111111111,-0.17232222222222224,-0.09628888888888888,-0.19806666666666667,-0.18593333333333334,-0.11114444444444443,-0.2081777777777778,-9.333333333333334,-5.933333333333334
bob-asmussen,sun-belt,-0.021148387096774194,-0.01578172043010753,-0.003617204301075269,-0.05923333333333333,-0.009921505376344087,-0.05870860215053764,-0.06460645161290322,-0.02264516129032258,-0.060231182795698925,-1.6021505376344085,-7.4807634408602155
brandon-marcello,sec,-0.04009243697478992,-0.05980672268907563,-0.0015378151260504213,-0.5101302521008403,-0.5698957983193277,-0.40652352941176473,-0.5020890756302522,-0.5459210084033613,-0.409044537815126,-5.226890756302521,-26.666134453781513
brandon-marcello,acc,0.01420253164556962,0.06270632911392406,-0.03728354430379747,-0.21488481012658228,-0.12804303797468353,-0.2730835443037975,-0.207479746835443,-0.12177341772151899,-0.26625822784810127,-1.4177215189873418,-9.96493670886076
brandon-marcello,mac,0.1163,-0.0333,0.2659,-0.4158,-0.7461,-0.0855,-0.4391,-0.7917,-0.0866,17.0,-17.036
brandon-marcello,pac-12,-0.014644047619047619,-0.03749999999999999,-0.007551190476190477,-0.18888214285714286,-0.14402738095238096,-0.10040476190476191,-0.18196547619047618,-0.1466761904761905,-0.09730119047619049,-3.369047619047619,-17.658892857142856
brandon-marcello,big-ten,0.022403614457831324,0.06497710843373494,-0.03716024096385542,-0.13530361445783132,-0.06636987951807229,-0.17165301204819278,-0.12975060240963854,-0.055336144578313255,-0.17313373493975903,5.481927710843373,-10.785819277108434
brandon-marcello,big-12,-0.05857441860465116,-0.048287209302325586,-0.004908139534883722,-0.2255046511627907,-0.2009906976744186,-0.17370465116279069,-0.21605000000000002,-0.20127906976744184,-0.15375465116279072,-4.0813953488372094,-22.526941860465115
brandon-marcello,american,-0.03315454545454545,-0.06432727272727273,-0.003200000000000001,-0.14512727272727274,-0.13370909090909092,-0.11536363636363635,-0.15337272727272724,-0.14806363636363637,-0.12438181818181819,-5.545454545454546,-17.796636363636363
brandon-marcello,mwc,-0.014045454545454547,-0.027927272727272728,0.0024999999999999988,-0.08854848484848485,-0.036618181818181814,-0.07531212121212122,-0.0864121212121212,-0.04654545454545455,-0.07015757575757575,-3.5454545454545454,-8.387333333333332
brandon-marcello,sun-belt,-0.08617777777777777,0.0,-0.08617777777777777,-0.020399999999999998,0.0,-0.020399999999999998,-0.029099999999999997,0.0,-0.029099999999999997,-2.0,-0.4666666666666667
brandon-marcello,cusa,-0.0544,0.0,-0.0544,0.0814,0.0,0.0814,0.0732,0.0,0.0732,-4.0,5.5
chris-solari,acc,-0.14131267605633804,-0.19448028169014084,-0.03611690140845071,-0.47590985915492956,-0.553487323943662,-0.30374084507042254,-0.4661676056338028,-0.5393436619718309,-0.29646901408450704,-9.028169014084508,-18.43038028169014
chris-solari,sec,0.050627433628318584,0.1233212389380531,0.0189716814159292,-0.42403539823008846,-0.3575407079646018,-0.4190150442477876,-0.41237433628318587,-0.3358734513274336,-0.41839999999999994,2.353982300884956,-20.074522123893804
chris-solari,mac,0.046,0.0562,0.0358,-0.456,-0.6133,-0.2987,-0.4734,-0.65,-0.2969,4.0,-30.036
chris-solari,big-12,0.08002888888888889,0.08796777777777778,0.02836333333333333,-0.0888488888888889,-0.07706222222222223,-0.1272088888888889,-0.08190222222222222,-0.08263,-0.11042777777777778,10.78888888888889,-7.068433333333333
chris-solari,pac-12,-0.030880952380952384,-0.07363809523809524,-0.015710714285714286,-0.16847261904761904,-0.1941309523809524,-0.0873345238095238,-0.1631,-0.18493690476190475,-0.08760595238095238,-5.880952380952381,-18.605130952380954
chris-solari,big-ten,-0.04750246913580247,-0.010079012345679018,-0.06727407407407408,-0.18187407407407408,-0.12445925925925924,-0.18559135802469134,-0.1780716049382716,-0.12598641975308641,-0.18044814814814816,-8.74074074074074,-22.797814814814814
chris-solari,american,-0.018009090909090905,-0.14828181818181818,0.06361818181818181,-0.12838181818181818,-0.21852727272727276,-0.042963636363636364,-0.13874545454545453,-0.22836363636363635,-0.05267272727272727,-10.818181818181818,-22.738272727272726
chris-solari,mwc,0.015781818181818185,0.0009757575757575776,-0.007139393939393941,-0.05233636363636363,0.012315151515151515,-0.07862121212121212,-0.05802121212121211,0.0009818181818181822,-0.08242121212121212,-6.2727272727272725,-9.54881818181818
chris-solari,cusa,-0.3684,0.0,-0.3684,-0.1421,0.0,-0.1421,-0.1579,0.0,-0.1579,-7.0,-2.7
conor-oneill,sec,0.19338185185185183,0.16127481481481482,0.1980362962962963,-0.3932292592592593,-0.42173629629629633,-0.3538737037037037,-0.36598555555555556,-0.38665740740740745,-0.33867851851851855,18.033333333333335,-12.517477777777778
conor-oneill,acc,-0.1847439461883408,-0.09752242152466367,-0.222157399103139,-0.6087964125560538,-0.5845968609865471,-0.5733686098654709,-0.5975547085201794,-0.5507439461883408,-0.5807556053811659,-11.807174887892376,-26.409322869955158
conor-oneill,big-ten,-0.009896153846153846,-0.023028461538461543,0.020576923076923076,-0.16629153846153846,-0.14857576923076923,-0.11633692307692307,-0.15857615384615384,-0.14092115384615383,-0.11115230769230769,1.5769230769230769,-15.934326923076924
conor-oneill,mac,0.0007365079365079396,-0.15083492063492066,0.11583809523809524,-0.3955920634920635,-0.5083253968253969,-0.3033936507936508,-0.3932126984126984,-0.5077444444444444,-0.29713809523809526,-0.047619047619047616,-21.547603174603175
conor-oneill,big-12,1.91489361702142e-05,-0.01579609929078014,0.033948581560283686,-0.15630851063829787,-0.18227482269503545,-0.11284964539007092,-0.15370709219858156,-0.17627553191489362,-0.10996418439716311,0.3475177304964539,-16.50863120567376
conor-oneill,pac-12,0.015013596491228071,-0.0030438596491228066,0.0010118421052631565,-0.12220526315789473,-0.1020890350877193,-0.09519561403508772,-0.1158548245614035,-0.09813640350877192,-0.09186842105263157,0.3815789473684211,-12.218640350877193
conor-oneill,american,-0.08312203389830508,-0.051855367231638416,-0.07218418079096045,-0.18303615819209038,-0.10801073446327683,-0.18028926553672317,-0.18553954802259887,-0.11105536723163842,-0.18433728813559325,-7.101694915254237,-16.356531073446327
