voter,conference,bias1-a,bias1-b,bias1-c,bias2-a,bias2-b,bias2-c,bias3-a,bias3-b,bias3-c,bias0-ap,bias0-mean,n
davis-potter,american,0.1050566695727986,0.2968613775065388,0.08064516129032258,0.506102877070619,0.6560592850915432,0.3910200523103749,0.481691368788143,0.6639058413251961,0.3679163034001744,0.02920662598081953,0.11333914559721012,0.6678291194420227
davis-potter,mwc,0.4293809938971229,0.8731473408892764,0.19572798605056668,0.8622493461203139,0.9686137750653879,0.7258064516129032,0.8561464690496948,0.9681778552746295,0.7018308631211857,0.7911944202266783,0.8347863993025283,0.3217088055797733
davis-potter,sun-belt,0.06887532693984307,0.12205754141238012,0.07410636442894507,0.4189189189189189,0.6386224934612031,0.3234524847428073,0.3993025283347864,0.6137750653879687,0.32868352223190933,0.02833478639930253,0.07149084568439407,0.3618134263295554
don-williams,sun-belt,0.9768962510897995,0.9128160418482999,0.9755884917175239,0.993897122929381,0.9755884917175239,0.993025283347864,0.994768962510898,0.9707933740191804,0.9943330427201394,0.99128160418483,0.992153443766347,0.4749346120313862
dylan-sinn,sun-belt,0.07846556233653008,0.24716652136006975,0.04969485614646905,0.5510026155187445,0.7471665213600698,0.3884045335658239,0.5422842197035745,0.7253705318221447,0.3927637314734089,0.024411508282476024,0.13164777680906714,0.5455536181342633
eric-boynton,acc,0.23844812554489975,0.3020924149956408,0.16521360069747165,0.08456843940714909,0.04097646033129904,0.11813426329555361,0.08151700087183958,0.045335658238884045,0.1076721883173496,0.41804707933740193,0.17175239755884916,0.6837401918047079
eric-boynton,sec,0.8892763731473409,0.8931996512641673,0.8618134263295554,0.0972101133391456,0.15300784655623365,0.04141238012205754,0.10854402789886661,0.15954664341761116,0.045335658238884045,0.8844812554489974,0.09241499564080209,0.7345248474280732
eric-boynton,mac,0.7972972972972973,0.05666957279860506,0.980819529206626,0.22362685265911073,0.1891891891891892,0.1822144725370532,0.2157802964254577,0.1826503923278117,0.18047079337401917,0.6944202266782912,0.24847428073234526,0.2951176983435048
eric-boynton,pac-12,0.2925021795989538,0.23103748910200522,0.6634699215344376,0.6255448997384482,0.588055797733217,0.6713164777680907,0.6172624237140366,0.5745422842197035,0.6870095902353966,0.4202266782911944,0.532258064516129,0.7042284219703574
eric-boynton,big-12,0.7689625108979947,0.8108108108108109,0.7807323452484742,0.6190061028770706,0.5344376634699215,0.6037489102005231,0.6268526591107236,0.5523103748910201,0.5963382737576286,0.8230165649520488,0.47951176983435045,0.7423714036617263
eric-boynton,big-ten,0.3435047951176983,0.35919790758500436,0.34045335658238884,0.5030514385353095,0.560156931124673,0.4184829991281604,0.514821272885789,0.5714908456843941,0.4219703574542284,0.20619006102877072,0.09154315605928509,0.7140366172624237
eric-boynton,american,0.4952048823016565,0.6904969485614647,0.2105492589363557,0.6639058413251961,0.7218831734960767,0.48561464690496947,0.6617262423714037,0.7471665213600698,0.46512641673932,0.4385353095030514,0.5174367916303401,0.6604184829991282
eric-boynton,mwc,0.4058413251961639,0.4803836094158675,0.2951176983435048,0.8060156931124673,0.7733217088055798,0.6983435047951178,0.7933740191804708,0.7881429816913688,0.6521360069747166,0.5954664341761116,0.6809067131647777,0.3217088055797733
