Percentile,bias1(p),bias2(p),bias3(p),bias0ap(p),bias0mean(p)
58,0.0,-0.1258,-0.125,0.0,-1.5809999999999995
59,0.0,-0.1197619047619047,-0.1176470588235294,0.0,-1.5250000000000004
60,0.0,-0.1136499999999999,-0.1111111111111111,0.0,-1.4669999999999987
61,0.0,-0.1078421052631578,-0.1052631578947368,0.0,-1.4139999999999997
62,0.0,-0.1016,-0.1,0.0,-1.3560000000000016
63,0.0,-0.096590909090909,-0.1,0.0,-1.306
64,0.0,-0.0909090909090909,-0.0952380952380952,0.0,-1.2579999999999991
65,0.0,-0.08569576923076766,-0.0909090909090909,0.0,-1.193999999999999
66,0.0,-0.0795454545454545,-0.0869565217391304,0.0,-1.129
67,0.0416666666666666,-0.0743636363636363,-0.0833333333333333,1.0,-1.0650000000000013
68,0.0454545454545454,-0.0684374999999999,-0.0714285714285714,1.0,-1.0
69,0.05,-0.06321678571428595,-0.0666666666666666,1.0,-0.9369999999999994
70,0.0555555555555555,-0.0575238095238094,-0.0588235294117647,1.0,-0.8689999999999998
71,0.0625,-0.0521764705882353,-0.0526315789473684,1.0,-0.7870000000000008
72,0.0714285714285714,-0.0460588235294118,-0.0476190476190476,1.0,-0.7079999999999984
73,0.0769230769230769,-0.041,-0.0454545454545454,1.0,-0.6320000000000014
74,0.0869565217391304,-0.0347542307692307,-0.0434782608695652,1.0,-0.5559999999999992
75,0.0909090909090909,-0.0294117647058823,-0.0416666666666666,1.0,-0.46699999999999964
76,0.1,-0.0238095238095238,0.0,1.0,-0.383
77,0.1111111111111111,-0.0181249999999999,0.0,1.0,-0.2986199999999944
78,0.1176470588235294,-0.0126363636363635,0.0,1.0,-0.21999999999999886
79,0.125,-0.0066,0.0,1.0,-0.11499999999999844
80,0.1428571428571428,0.0,0.0,1.0,0.0
81,0.1428571428571428,0.0051213325037093,0.0,1.0,0.08200000000000074
82,0.1578947368421052,0.0114291493880853,0.0,2.0,0.1999999999999993
83,0.1666666666666666,0.0178117048346056,0.0,2.0,0.3230000000000004
84,0.1818181818181818,0.0241339389081842,0.0,2.0,0.43900000000000006
85,0.2,0.0309278350515463,0.0,2.0,0.565999999999999
86,0.2,0.0376276555076183,0.0416666666666666,2.0,0.6940000000000003
87,0.2222222222222222,0.0445227836532184,0.0434782608695652,2.0,0.8249999999999993
88,0.25,0.0527898932170251,0.0454545454545454,2.0,0.9840000000000018
89,0.25,0.0615221304287625,0.0526315789473684,2.0,1.125
90,0.2727272727272727,0.0700909577314071,0.0638297872340425,3.0,1.2979999999999983
91,0.3,0.0793793568697999,0.0833333333333333,3.0,1.471
92,0.3333333333333333,0.088091922005571,0.0909090909090909,3.0,1.6560000000000006
93,0.3333333333333333,0.1,0.1,3.0,1.8419999999999987
94,0.4,0.11339843547785798,0.1111111111111111,4.0,2.056000000000001
95,0.4545454545454545,0.1290249740324255,0.1363636363636363,4.0,2.3230000000000004
96,0.5,0.1487100942899535,0.1578947368421052,4.0,2.6119999999999983
97,0.5714285714285714,0.1755485893416928,0.1904761904761904,5.0,3.0
98,0.7142857142857143,0.2153777266039788,0.25,5.0,3.533999999999999
99,1.0,0.2931731235519154,0.3333333333333333,7.0,4.4239999999999995
