season,week,bias1_mean,bias1_std,bias2_mean,bias2_std,bias3_mean,bias3_std,bias0_ap_mean,bias0_ap_std,bias0_mean_mean,bias0_mean_std
2019,4,-0.8257,26.8115,-32.9928,50.3644,-31.7519,48.2072,-0.1796,2.4734,-1.7387,2.2398
2019,5,-1.4818,24.3977,-32.1932,50.79,-29.5073,48.2857,-0.2977,2.4644,-1.6906,2.1069
2019,6,-2.3191,53.7309,-37.0778,79.633,-36.0206,77.7836,-0.3414,2.4285,-1.6708,2.0104
2019,7,-1.0635,51.8387,-36.2847,74.5861,-33.4615,68.8766,-0.1873,2.334,-1.6657,2.0026
2019,8,-0.937,44.6518,-35.7789,70.2601,-37.7331,76.7549,-0.1294,2.0404,-1.7413,1.8812
2019,9,-0.708,48.2586,-36.278,71.744,-34.7084,69.0332,-0.1276,1.9037,-1.7764,1.7621
2019,10,-0.6763,48.6732,-35.4728,68.1022,-34.3301,66.6844,-0.1281,2.013,-1.7794,1.8842
2019,11,-0.6055,47.7051,-35.2201,68.0312,-34.0863,66.5141,-0.0973,2.0429,-1.7503,1.908
2019,12,-0.8249,25.2728,-32.7661,51.2103,-30.8399,49.4568,-0.1564,1.9221,-1.7642,1.7365
2019,13,-0.4574,22.1417,-32.4621,49.8536,-31.3321,48.2144,-0.1023,1.7981,-1.8193,1.7234
2019,14,-0.4097,24.3016,-32.895,51.4709,-31.9957,49.2838,-0.1014,1.9197,-1.8224,1.7987
2019,15,-0.4941,25.1726,-32.6089,53.0731,-31.4514,51.2305,-0.0982,1.7821,-1.7835,1.6942
2019,16,-0.7176,28.2563,-33.5804,53.8471,-33.4605,51.7879,-0.128,2.048,-1.8002,1.9008
2019,17,-0.5929,19.8363,-31.8429,45.4329,-30.4069,45.2975,-0.1292,2.0564,-1.7734,1.9222
2020,1,-1.8549,39.8544,-35.0197,62.924,-33.7362,60.5707,-0.3488,2.8066,-1.6681,2.5009
2020,2,-2.4022,32.5543,-32.845,53.5822,-31.1338,51.3737,-0.3908,3.0553,-1.6093,2.6209
2020,3,-1.3678,29.8163,-32.8428,53.0395,-31.1779,52.0325,-0.212,2.5137,-1.684,2.2809
2020,4,-6.9141,54.4344,-35.4105,59.9633,-31.8402,57.5041,-0.8104,4.0589,-1.5807,3.405
