season,team,bias1_mean,bias1_std,bias2_mean,bias2_std,bias3_mean,bias3_std
2015,ole-miss-rebels,-0.0723,0.5428,-0.3302,0.8497,-0.3377,0.8638
2015,oregon-ducks,-0.0589,0.3354,-0.2023,0.3813,-0.2103,0.376
2015,penn-state-nittany-lions,-0.1613,0.1159,-0.0518,0.1071,-0.0715,0.1075
2015,pittsburgh-panthers,-0.0679,0.1072,-0.0445,0.0917,-0.0575,0.0978
2015,san-diego-state-aztecs,-0.0866,0.063,-0.0063,0.0623,-0.0175,0.0601
2015,south-florida-bulls,-0.126,0.0695,-0.0498,0.0648,-0.0498,0.0648
2015,stanford-cardinal,0.0248,0.2383,-0.241,0.2709,-0.2404,0.2781
2015,tcu-horned-frogs,0.0418,0.7944,-0.6543,0.9203,-0.5439,0.853
2015,temple-owls,-0.0369,0.1081,-0.0544,0.098,-0.0603,0.0989
2015,tennessee-volunteers,-0.1166,0.1739,-0.0408,0.1664,-0.0616,0.1652
2015,texas-am-aggies,-0.1902,0.82,-0.2939,0.9471,-0.3427,0.9805
2015,texas-tech-red-raiders,-0.1348,0.1084,-0.0042,0.0966,-0.002,0.0974
2015,toledo-rockets,-0.0304,0.1297,-0.0594,0.1222,-0.0611,0.1234
2015,ucla-bruins,-0.0219,0.3678,-0.2053,0.4591,-0.2106,0.4579
2015,usc-trojans,-0.0271,0.3699,-0.192,0.4521,-0.1723,0.4182
2015,utah-state-aggies,-0.0734,0.0431,-0.0322,0.0415,-0.0322,0.0415
2015,utah-utes,-0.1479,0.8487,-0.4881,1.2263,-0.4185,1.0976
2015,virginia-tech-hokies,-0.1701,0.1313,-0.0408,0.1127,-0.0465,0.1131
2015,washington-state-cougars,-0.0177,0.1256,-0.0741,0.1046,-0.0669,0.1025
2015,west-virginia-mountaineers,-0.1397,0.1814,-0.0681,0.1614,-0.066,0.1649
2015,western-kentucky-hilltoppers,-0.1179,0.0827,-0.028,0.0726,-0.03,0.0716
2015,wisconsin-badgers,-0.0614,0.1403,-0.0705,0.1376,-0.0837,0.1387
2016,air-force-falcons,-0.1586,0.1374,-0.0232,0.1247,-0.0392,0.1241
2016,alabama-crimson-tide,0.12,0.4784,-1.9006,0.5348,-1.8002,0.5184
2016,arizona-state-sun-devils,-0.1657,0.1445,-0.0566,0.1247,-0.0539,0.1234
2016,arkansas-razorbacks,-0.0562,0.2538,-0.1125,0.2426,-0.1168,0.2456
2016,auburn-tigers,-0.0382,0.2327,-0.1514,0.2342,-0.1596,0.2365
2016,baylor-bears,-0.0375,0.2874,-0.1802,0.2762,-0.1679,0.2705
2016,boise-state-broncos,-0.066,0.2431,-0.1071,0.23,-0.1145,0.226
2016,byu-cougars,-0.1219,0.041,-0.0657,0.0365,-0.0657,0.0365
2016,california-golden-bears,-0.2393,0.2441,-0.0262,0.2089,-0.0946,0.2174
2016,central-michigan-chippewas,-0.1099,0.0669,-0.0366,0.0608,-0.0239,0.0625
2016,clemson-tigers,-0.0035,0.4564,-0.8319,0.7037,-0.814,0.6975
2016,colorado-buffaloes,-0.0212,0.2156,-0.1491,0.2189,-0.1426,0.2129
2016,florida-gators,-0.0306,0.2725,-0.1249,0.2357,-0.1179,0.2337
2016,florida-state-seminoles,-0.0071,0.4187,-0.3379,0.6271,-0.3115,0.6057
2016,georgia-bulldogs,0.0282,0.3694,-0.1685,0.3305,-0.1052,0.3148
2016,georgia-tech-yellow-jackets,-0.097,0.0718,-0.0178,0.066,-0.0335,0.0678
2016,houston-cougars,-0.0775,0.3532,-0.2873,0.4097,-0.2843,0.4269
2016,indiana-hoosiers,-0.1304,,-0.087,,-0.087,
2016,iowa-hawkeyes,-0.0308,0.2924,-0.1428,0.3011,-0.141,0.3
2016,kansas-state-wildcats,-0.1657,0.1291,-0.0295,0.1157,-0.0295,0.1157
2016,louisville-cardinals,0.0146,0.3756,-0.3899,0.5511,-0.3701,0.5531
2016,lsu-tigers,-0.0551,0.3543,-0.1686,0.4301,-0.1681,0.4194
2016,maryland-terrapins,-0.1127,0.0691,-0.0441,0.0651,-0.0699,0.0664
2016,memphis-tigers,-0.1326,0.0696,-0.0455,0.0643,-0.0455,0.0643
2016,miami-fl-hurricanes,-0.0461,0.2874,-0.1299,0.2494,-0.149,0.2528
2016,michigan-state-spartans,0.0321,0.3227,-0.2119,0.3461,-0.177,0.3408
2016,michigan-wolverines,0.0677,0.4898,-0.6256,0.6806,-0.5489,0.6584
2016,minnesota-golden-gophers,-0.1519,0.1961,0.1472,0.1738,0.1472,0.1738
2016,navy-midshipmen,-0.0883,0.1803,-0.0491,0.1721,-0.0695,0.174
2016,nebraska-cornhuskers,-0.0142,0.2505,-0.1685,0.2378,-0.1454,0.2331
2016,north-carolina-state-wolfpack,-0.0971,0.06,-0.0123,0.056,-0.0123,0.056
2016,north-carolina-tar-heels,-0.0508,0.2338,-0.0958,0.2236,-0.1261,0.2279
